              x          T3(x)          T5(x)          T7(x)          T9(x)
          -0.09       0.267084      -0.435514       0.589834      -0.725043
         -0.088       0.261274      -0.426455       0.578426       -0.71248
         -0.086       0.255456      -0.417354       0.566906      -0.699686
         -0.084       0.249629      -0.408213       0.555275      -0.686665
         -0.082       0.243795      -0.399032       0.543537      -0.673423
          -0.08       0.237952      -0.389812       0.531694      -0.659964
         -0.078       0.232102      -0.380555       0.519747      -0.646291
         -0.076       0.226244      -0.371261         0.5077       -0.63241
         -0.074       0.220379      -0.361931       0.495555      -0.618325
         -0.072       0.214507      -0.352566       0.483314       -0.60404
          -0.07       0.208628      -0.343167        0.47098      -0.589561
         -0.068       0.202742      -0.333735       0.458554      -0.574892
         -0.066        0.19685       -0.32427        0.44604      -0.560038
         -0.064       0.190951      -0.314774        0.43344      -0.545004
         -0.062       0.185047      -0.305248       0.420756      -0.529794
          -0.06       0.179136      -0.295692       0.407991      -0.514414
         -0.058        0.17322      -0.286108       0.395147      -0.498869
         -0.056       0.167298      -0.276496       0.382227      -0.483163
         -0.054        0.16137      -0.266858       0.369233      -0.467302
         -0.052       0.155438      -0.257194       0.356168      -0.451291
          -0.05         0.1495      -0.247505       0.343035      -0.435135
         -0.048       0.143558      -0.237792       0.329835      -0.418839
         -0.046       0.137611      -0.228057       0.316572      -0.402408
         -0.044       0.131659      -0.218299       0.303248      -0.385849
         -0.042       0.125704       -0.20852       0.289866      -0.369166
          -0.04       0.119744      -0.198722       0.276427      -0.352364
         -0.038       0.113781      -0.188904       0.262936       -0.33545
         -0.036       0.107813      -0.179068       0.249394      -0.318427
         -0.034       0.101843      -0.169215       0.235804      -0.301303
         -0.032      0.0958689      -0.159345       0.222169      -0.284082
          -0.03       0.089892       -0.14946       0.208491       -0.26677
         -0.028      0.0839122      -0.139561       0.194773      -0.249373
         -0.026      0.0779297      -0.129649       0.181017      -0.231896
         -0.024      0.0719447      -0.119724       0.167227      -0.214345
         -0.022      0.0659574      -0.109787       0.153404      -0.196724
          -0.02       0.059968     -0.0998401       0.139552      -0.179041
         -0.018      0.0539767     -0.0898834       0.125674      -0.161301
         -0.016      0.0479836     -0.0799181       0.111771      -0.143509
         -0.014       0.041989     -0.0699451      0.0978464      -0.125671
         -0.012      0.0359931     -0.0599654      0.0839033      -0.107793
          -0.01       0.029996       -0.04998       0.069944       -0.08988
         -0.008       0.023998     -0.0399898      0.0559713     -0.0719386
